Protein ID,Scientific Name,Lineage
P29183,Equus caballus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Perissodactyla > Equidae > Equus
Q4R7Y5,Macaca fascicularis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Cercopithecidae > Cercopithecinae > Macaca
A2VBC4,Polybia paulista,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Epiponini > Polybia
Q6IFW6,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q8CGI1,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
F4NYQ2,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211),Eukaryota > Fungi > Fungi incertae sedis > Chytridiomycota > Chytridiomycota incertae sedis > Chytridiomycetes > Rhizophydiales > Rhizophydiales incertae sedis > Batrachochytrium
Q20798,Caenorhabditis elegans,Eukaryota > Metazoa > Ecdysozoa > Nematoda > Chromadorea > Rhabditida > Rhabditina > Rhabditomorpha > Rhabditoidea > Rhabditidae > Peloderinae > Caenorhabditis
Q9U6W0,Polistes annularis,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
A0KIK2,Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),Bacteria > Pseudomonadota > Gammaproteobacteria > Aeromonadales > Aeromonadaceae > Aeromonas
P50903,Cavia porcellus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Caviidae > Cavia
Q29524,Ovis aries,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Caprinae > Ovis
P59983,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria > Actinomycetota > Actinomycetes > Mycobacteriales > Mycobacteriaceae > Mycobacterium > Mycobacterium tuberculosis complex
B4ULC0,Anaeromyxobacter sp. (strain K),Bacteria > Myxococcota > Myxococcia > Myxococcales > Cystobacterineae > Anaeromyxobacteraceae > Anaeromyxobacter
Q02157,Oryctolagus cuniculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Lagomorpha > Leporidae > Oryctolagus
C0JAZ3,Loxosceles variegata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Chelicerata > Arachnida > Araneae > Araneomorphae > Haplogynae > Scytodoidea > Sicariidae > Loxosceles
P23252,Hordeum vulgare,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > Liliopsida > Poales > Poaceae > BOP clade > Pooideae > Triticodae > Triticeae > Hordeinae > Hordeum
Q8Y2B4,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),Bacteria > Pseudomonadota > Betaproteobacteria > Burkholderiales > Burkholderiaceae > Ralstonia > Ralstonia solanacearum species complex
O59297,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),Archaea > Euryarchaeota > Thermococci > Thermococcales > Thermococcaceae > Pyrococcus
Q9UBI9,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P47038,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Eukaryota > Fungi > Dikarya > Ascomycota > Saccharomycotina > Saccharomycetes > Saccharomycetales > Saccharomycetaceae > Saccharomyces
P54318,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P25172,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
A5GJK5,Synechococcus sp. (strain WH7803),Bacteria > Cyanobacteriota > Cyanophyceae > Synechococcales > Synechococcaceae > Synechococcus
P43507,Caenorhabditis elegans,Eukaryota > Metazoa > Ecdysozoa > Nematoda > Chromadorea > Rhabditida > Rhabditina > Rhabditomorpha > Rhabditoidea > Rhabditidae > Peloderinae > Caenorhabditis
Q5XGE9,Xenopus tropicalis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Silurana
Q8WWY8,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P11151,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q54DY0,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
