,GO_ID,GO_Term,Depth,Propagated_Enrichment,Original_Enrichment,P_Value,Child_Count
163,GO:0008150,biological_process,0,6727.26,1.17,2.692439202452234e-06,18
198,GO:0003674,molecular_function,0,5255.67,1.12,6.939099568020262e-05,31
157,GO:0005575,cellular_component,0,692.51,1.18,1.0397480552014307e-06,3
66,GO:0032501,multicellular organismal process,1,6727.26,8.88,1.3501425383394808e-16,61
128,GO:0009987,cellular process,1,6727.26,1.27,2.3669946514660603e-09,60
56,GO:0003824,catalytic activity,1,5255.67,1.76,2.11756532870043e-19,15
375,GO:0065007,biological regulation,1,3669.41,0.85,0.7807975377379582,7
304,GO:0005488,binding,1,2242.42,0.84,0.9790250934483647,27
121,GO:0110165,cellular anatomical structure,1,692.51,1.32,1.3743524130640556e-09,431
245,GO:0050896,response to stimulus,1,611.57,1.9,0.0052659093420743,15
360,GO:0032502,developmental process,1,517.48,1.38,0.2655844745472318,22
386,GO:0051179,localization,1,368.62,1.08,0.4770523290684353,9
353,GO:0032991,protein-containing complex,1,352.38,0.8,0.8838971878204434,280
97,GO:0042592,homeostatic process,1,307.18,10.98,7.260771489844011e-12,3
344,GO:0022414,reproductive process,1,82.37,1.71,0.2554633010750833,20
79,GO:0044419,biological process involved in interspecies interaction between organisms,1,29.58,7.91,3.2339846797098816e-14,5
374,GO:0060090,molecular adaptor activity,1,22.88,1.14,0.5875230237794908,3
338,GO:0048511,rhythmic process,1,6.66,4.05,0.2193238602930991,4
348,GO:0040007,growth,1,3.62,2.89,0.2929567243720946,6
352,GO:0090729,toxin activity,1,1.72,1.72,0.3240135272718293,0
15255,GO:0002376,immune system process,1,0.0,1.0,1.0,19
15256,GO:0003774,cytoskeletal motor activity,1,0.0,1.0,1.0,4
15257,GO:0005198,structural molecule activity,1,0.0,1.0,1.0,23
15258,GO:0005215,transporter activity,1,0.0,1.0,1.0,4
15259,GO:0009055,electron transfer activity,1,0.0,1.0,1.0,10
15260,GO:0016032,viral process,1,0.0,1.0,1.0,46
15261,GO:0016209,antioxidant activity,1,0.0,1.0,1.0,7
15262,GO:0038024,cargo receptor activity,1,0.0,1.0,1.0,12
15263,GO:0040011,locomotion,1,0.0,1.0,1.0,6
15264,GO:0043473,pigmentation,1,0.0,1.0,1.0,4
15265,GO:0044183,protein folding chaperone,1,0.0,1.0,1.0,1
15266,GO:0044423,virion component,1,0.0,1.0,1.0,23
15267,GO:0044848,biological phase,1,0.0,1.0,1.0,6
15268,GO:0045182,translation regulator activity,1,0.0,1.0,1.0,3
15269,GO:0051703,biological process involved in intraspecies interaction between organisms,1,0.0,1.0,1.0,9
15270,GO:0060089,molecular transducer activity,1,0.0,1.0,1.0,4
15271,GO:0098754,detoxification,1,0.0,1.0,1.0,8
15272,GO:0098772,molecular function regulator activity,1,0.0,1.0,1.0,9
15273,GO:0140104,molecular carrier activity,1,0.0,1.0,1.0,7
15274,GO:0140110,transcription regulator activity,1,0.0,1.0,1.0,8
15275,GO:0140223,general transcription initiation factor activity,1,0.0,1.0,1.0,3
15276,GO:0140313,molecular sequestering activity,1,0.0,1.0,1.0,5
15277,GO:0140489,molecular template activity,1,0.0,1.0,1.0,2
15278,GO:0140522,fusogenic activity,1,0.0,1.0,1.0,1
15279,GO:0140657,ATP-dependent activity,1,0.0,1.0,1.0,20
15280,GO:0140776,protein-containing complex destabilizing activity,1,0.0,1.0,1.0,4
15281,GO:0140777,protein-containing complex stabilizing activity,1,0.0,1.0,1.0,1
