,GO_ID,Count_Dataset,Count_SwissProt,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater,P_Value_Less
4,GO:0004806,37,302,64.91,0.0527401291,1230.79,5.862485164679701e-106,5.862485164679702e-106,1.0
7,GO:0019433,27,94,47.37,0.0164158018,2885.54,3.577381715570273e-85,3.577381715570272e-85,1.0
8,GO:0005615,50,9689,87.72,1.6920500368,51.84,7.044730342367837e-81,7.044730342367837e-81,1.0
12,GO:0008970,24,129,42.11,0.0225280684,1869.01,1.9467124031372784e-71,1.9467124031372784e-71,1.0
11,GO:0004465,20,27,35.09,0.0047151771,7441.44,1.9943882616747466e-69,1.9943882616747466e-69,1.0
3,GO:0004620,21,179,36.84,0.0312598779,1178.57,1.8090858530170914e-58,1.8090858530170917e-58,1.0
21,GO:0052739,19,85,33.33,0.0148440761,2245.56,9.218346978291554e-58,9.218346978291554e-58,1.0
15,GO:0052740,18,84,31.58,0.0146694399,2152.7,2.040605906836536e-54,2.0406059068365366e-54,1.0
19,GO:0008201,24,802,42.11,0.1400582237,300.63,3.3765570985058166e-53,3.3765570985058166e-53,1.0
48,GO:0016042,27,1719,47.37,0.3001996092,157.79,1.2402233458116957e-52,1.2402233458116953e-52,1.0
42,GO:0034372,15,48,26.32,0.0083825371,3139.36,1.502814424805405e-47,1.5028144248054052e-47,1.0
16,GO:0034185,15,64,26.32,0.0111767161,2354.52,6.627049673009062e-46,6.627049673009061e-46,1.0
27,GO:0034371,11,13,19.3,0.0022702705,8500.42,8.454164650390462e-39,8.454164650390461e-39,1.0
49,GO:0034375,13,91,22.81,0.0158918932,1435.14,2.6007881664793255e-37,2.6007881664793263e-37,1.0
26,GO:0042632,15,387,26.32,0.0675842052,389.38,8.166154829427007e-35,8.166154829427007e-35,1.0
20,GO:0071813,10,36,17.54,0.0062869028,2790.54,1.6792883400094752e-31,1.679288340009475e-31,1.0
18,GO:0043395,11,105,19.3,0.0183367999,1052.43,2.6443307248260655e-30,2.644330724826066e-30,1.0
79,GO:0047376,9,29,15.79,0.0050644495,3117.71,8.015852973900302e-29,8.015852973900303e-29,1.0
13,GO:0006633,20,4506,35.09,0.7869106684,44.59,7.944044100969526e-28,7.944044100969526e-28,1.0
45,GO:0042627,11,203,19.3,0.0354511464,544.36,2.7773509931629108e-27,2.77735099316291e-27,1.0
47,GO:0034361,11,328,19.3,0.05728067,336.91,4.781531163584237e-25,4.781531163584238e-25,1.0
41,GO:0070328,10,184,17.54,0.0321330588,545.98,6.697111488959466e-25,6.697111488959467e-25,1.0
0,GO:0102549,7,11,12.28,0.0019209981,6392.88,2.097546285651959e-24,2.097546285651959e-24,1.0
1,GO:0047714,7,17,12.28,0.0029688152,4136.57,2.2801547637880212e-23,2.2801547637880206e-23,1.0
61,GO:0019376,6,6,10.53,0.0010478171,10045.95,6.841149452193318e-22,6.841149452193319e-22,1.0
5,GO:0009395,8,116,14.04,0.0202577979,692.82,6.284977694885741e-21,6.28497769488574e-21,1.0
29,GO:0055096,6,11,10.53,0.0019209981,5479.61,9.159497402497868e-21,9.159497402497868e-21,1.0
17,GO:0005509,16,4957,28.07,0.8656715897,32.43,4.227347454622043e-20,4.227347454622043e-20,1.0
10,GO:0042589,7,68,12.28,0.0118752609,1034.14,1.3025331639026785e-19,1.3025331639026788e-19,1.0
32,GO:0010886,6,28,10.53,0.0048898133,2152.7,9.940747254869986e-19,9.940747254869988e-19,1.0
30,GO:1904179,6,33,10.53,0.0057629942,1826.54,2.410620672595554e-18,2.4106206725955536e-18,1.0
28,GO:0006631,10,949,17.54,0.1657297435,105.86,6.65627010872641e-18,6.656270108726413e-18,1.0
