protein_name,uniprot_id,E-value,domain_start,domain_end,domain_length
LIPR1_CANLF,P06857,1.4e-283,1,467,467
LIPR1_RAT,P54316,2.4e-282,1,470,470
LIPR1_MOUSE,Q5BKQ4,1.5e-281,1,470,470
LIPP_HUMAN,P16233,9.2e-279,1,465,465
LIPR1_HUMAN,P54315,1.3e-278,1,467,467
LIPP_HORSE,P29183,1.1e-276,1,461,461
LIPR2_MOUSE,P17892,6.9e-273,13,482,470
LIPP_ICTTR,O88354,7.6e-273,1,465,465
LIPP_PIG,P00591,2e-271,2,450,449
LIPP_MYOCO,Q64425,3.9e-271,2,457,456
LIPP_MOUSE,Q6P8U6,4.5e-270,1,465,465
LIPP_RAT,P27657,1.2e-269,1,465,465
LIPP_CAVPO,P50903,3.9e-269,1,465,465
LIPR2_RAT,P54318,4.8e-268,1,468,468
LIPP_RABIT,Q02157,5.6e-266,1,465,465
LIPR2_MYOCO,Q64424,2e-262,2,470,469
LIPR2_HUMAN,P54317,3.1e-261,1,469,469
LIPR2_PIG,D7EZN2,2.1e-257,1,471,471
LIPR2_BOVIN,A5PK46,2.2e-253,1,469,469
LIPR2_CAVPO,P81139,6e-240,1,434,434
LIPR3_HUMAN,Q17RR3,4.1e-204,1,467,467
LIPL_CAVPO,P11153,1.9e-83,26,448,423
LIPH_RABIT,Q9BDJ4,1.3e-81,38,378,341
LIPG_HUMAN,Q9Y5X9,3.5e-81,48,417,370
LIPC_RABIT,O46559,3.8e-81,46,425,380
LIPC_BOVIN,Q3SZ79,6.6e-81,40,427,388
LIPC_HUMAN,P11150,8.1e-81,46,425,380
LIPC_MOUSE,P27656,9.6e-81,45,426,382
LIPL_RAT,Q06000,3.1e-80,37,455,419
LIPG_MOUSE,Q9WVG5,4.9e-80,68,417,350
LIPL_PAPAN,P49060,7.3e-80,37,455,419
LIPL_HUMAN,P06858,1.1e-79,37,455,419
LIPH_HUMAN,Q8WWY8,2.2e-79,39,372,334
LIPC_RAT,P07867,5.2e-79,46,426,381
LIPL_CHICK,P11602,8.9e-79,37,448,412
LIPL_NEOVI,O46647,1.1e-78,38,456,419
LIPHA_XENLA,Q6PA23,3.1e-78,47,406,360
LIPL_MOUSE,P11152,4e-78,37,455,419
LIPL_PIG,P49923,1.1e-77,40,459,420
LIPE_CROAD,J3RZ81,1.3e-77,56,430,375
LIPL_FELCA,P55031,3e-77,59,459,401
LIPL_SHEEP,Q29524,4.8e-77,40,458,419
LIPL_BOVIN,P11151,4.8e-77,40,458,419
LIPG_RAT,Q8VBX1,1.8e-76,69,419,351
LIPHB_XENLA,Q641F6,1.1e-74,46,405,360
LIPH_XENTR,Q5XGE9,4.3e-74,47,401,355
LIPH_RAT,Q32PY2,3.2e-73,41,400,360
LIPH_MOUSE,Q8CIV3,7e-73,41,366,326
LIPI_HUMAN,Q6XZB0,3.3e-72,40,362,323
LIPH_DANRE,Q6DBU8,7.1e-67,43,397,355
PLA1A_DANRE,Q6NYZ4,7.6e-63,46,353,308
PLA1A_RAT,P97535,1.1e-61,49,367,319
PLA1A_BOVIN,Q5E9H0,4.2e-59,49,367,319
PLA1A_MOUSE,Q8VI78,1.9e-57,49,367,319
PLA1A_HUMAN,Q53H76,3.5e-56,49,403,355
PLA1A_PONAB,Q5RBQ5,6.2e-56,49,403,355
PA1_VESVE,C0HLL3,8.9e-40,13,282,270
PA1_VESMG,P0CH47,8e-39,82,315,234
PA1_POLPI,A2VBC4,7.6e-37,27,299,273
PA12_DOLMA,P53357,2.5e-37,13,282,270
PA1_POLAN,Q9U6W0,3.7e-37,44,231,188
PA14_POLDO,Q6Q249,5.2e-35,62,293,232
PA11_POLDO,Q6Q252,6.7e-35,83,278,196
PA12_POLDO,Q6Q251,6.9e-35,62,258,197
PA13_POLDO,Q6Q250,7.2e-35,62,258,197
PA1_VESMC,P51528,2.5e-35,35,277,243
PA1_VESVU,P49369,2.2e-34,72,314,243
PA1_VESSQ,P0CH86,3.5e-34,35,276,242
PA1_VESGE,Q3ZU95,1e-33,35,278,244
PA1_VESCR,P0CH87,6.8e-34,46,279,234
VEST1_VESTR,P0DPT0,2.8e-33,44,279,236
PA11_DOLMA,Q06478,4.2e-33,33,295,263
PA11_VESAF,P0DMB4,3.9e-33,48,312,265
PA12_VESAF,P0DMB5,1.4e-32,48,312,265
PA1_VESBA,A0A0M3KKW3,3.7e-31,35,278,244
VIT1_CERCA,P27878,2.4e-16,235,333,99
VIT1_DROME,P02843,2.2e-15,228,340,113
VIT3_DROME,P06607,3.1e-15,230,333,104
VIT2_DROME,P02844,7.3e-15,236,344,109
VIT2_CERCA,P27587,1.2e-14,216,330,115
PA1_DINQU,P0DSI2,5.9e-12,114,332,219
PA1_SOLIN,Q68KK0,6.3e-09,78,250,173
LIPP_FELCA,P83629,1.2e-07,1,25,25
ANGT_VIBAN,P0DJG9,0.38,71,105,35
ANGT_VIBA7,Q6W4T2,0.38,71,105,35
PLA4_ORYSJ,B9EYD3,1.5,197,227,31
PLA2_ORYSI,A2WT96,1.9,198,224,27
PLA2_ORYSJ,Q0JKT4,1.9,203,229,27
