Protein ID,Scientific Name,Lineage
P0DSI2,Dinoponera quadriceps,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Formicoidea > Formicidae > Ponerinae > Ponerini > Dinoponera
Q5E9H0,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q5BKQ4,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P0CH87,Vespa crabro,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
P50903,Cavia porcellus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Caviidae > Cavia
Q3SZ79,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
D7EZN2,Sus scrofa,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Suina > Suidae > Sus
P07867,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q6P8U6,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q17RR3,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P00591,Sus scrofa,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Suina > Suidae > Sus
P11153,Cavia porcellus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Caviidae > Cavia
O46647,Neovison vison,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Carnivora > Caniformia > Musteloidea > Mustelidae > Mustelinae > Neogale
A2VBC4,Polybia paulista,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Epiponini > Polybia
P49060,Papio anubis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Cercopithecidae > Cercopithecinae > Papio
Q06000,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P27656,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P53357,Dolichovespula maculata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Dolichovespula
P54316,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P16233,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
C0HLL3,Vespa velutina,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
P54318,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q9BDJ4,Oryctolagus cuniculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Lagomorpha > Leporidae > Oryctolagus
P0CH86,Vespula squamosa,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespula
Q9U6W0,Polistes annularis,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
P27657,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P02843,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
Q8VBX1,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q6Q249,Polistes dominula,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
P81139,Cavia porcellus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Caviidae > Cavia
P06858,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P97535,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q29524,Ovis aries,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Caprinae > Ovis
P27587,Ceratitis capitata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Tephritoidea > Tephritidae > Ceratitis > Ceratitis
Q8CIV3,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P11150,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q6Q252,Polistes dominula,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
Q68KK0,Solenopsis invicta,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Formicoidea > Formicidae > Myrmicinae > Solenopsis
Q9Y5X9,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q8VI78,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P02844,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
Q53H76,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q5RBQ5,Pongo abelii,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Pongo
P54317,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q6XZB0,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
O46559,Oryctolagus cuniculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Lagomorpha > Leporidae > Oryctolagus
P11602,Gallus gallus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Galloanserae > Galliformes > Phasianidae > Phasianinae > Gallus
P11151,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q3ZU95,Vespula germanica,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespula
Q6NYZ4,Danio rerio,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Actinopterygii > Neopterygii > Teleostei > Ostariophysi > Cypriniformes > Danionidae > Danioninae > Danio
P49369,Vespula vulgaris,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespula
P29183,Equus caballus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Perissodactyla > Equidae > Equus
P06857,Canis lupus familiaris,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Carnivora > Caniformia > Canidae > Canis
P54315,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P0DMB5,Vespa affinis,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
P55031,Felis catus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Carnivora > Feliformia > Felidae > Felinae > Felis
P0DMB4,Vespa affinis,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
Q6Q250,Polistes dominula,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
P11152,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P49923,Sus scrofa,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Suina > Suidae > Sus
J3RZ81,Crotalus adamanteus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Lepidosauria > Squamata > Bifurcata > Unidentata > Episquamata > Toxicofera > Serpentes > Colubroidea > Viperidae > Crotalinae > Crotalus
P0DPT0,Vespa tropica,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
Q64425,Myocastor coypus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Myocastoridae > Myocastor
Q6Q251,Polistes dominula,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
Q64424,Myocastor coypus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Myocastoridae > Myocastor
P17892,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P0CH47,Vespa magnifica,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
Q8WWY8,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P83629,Felis catus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Carnivora > Feliformia > Felidae > Felinae > Felis
P27878,Ceratitis capitata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Tephritoidea > Tephritidae > Ceratitis > Ceratitis
A0A0M3KKW3,Vespa basalis,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespa
Q06478,Dolichovespula maculata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Dolichovespula
O88354,Ictidomys tridecemlineatus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Sciuromorpha > Sciuridae > Xerinae > Marmotini > Ictidomys
A5PK46,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q32PY2,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q641F6,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
Q6PA23,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
Q02157,Oryctolagus cuniculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Lagomorpha > Leporidae > Oryctolagus
P06607,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
Q9WVG5,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q5XGE9,Xenopus tropicalis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Silurana
P51528,Vespula maculifrons,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespula
Q6DBU8,Danio rerio,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Actinopterygii > Neopterygii > Teleostei > Ostariophysi > Cypriniformes > Danionidae > Danioninae > Danio
