IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
4b27ea83a55bae860624d8852585749e0e54f3f6	PF00151:IPR013818	15483	P02843	439	PF00151{Lipase}:IPR013818{Lipase}[129-410]
d4ea22200019edd9226c62d1d87f9a3f2f2ed418	PF00151:IPR013818-PF01477:IPR001024	5043	P06858	475	PF00151{Lipase}:IPR013818{Lipase}[30-338],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[343-461]
8c4226fa73cfb069941191686d0644212aa3a021	PF00151:IPR013818-PF00151:IPR013818	691	Q4SZY0	430	PF00151{Lipase}:IPR013818{Lipase}[43-218],PF00151{Lipase}:IPR013818{Lipase}[224-307]
7e872d9c3fa933c5c6580c0967810fa35a332ae9	PF00151:IPR013818-PF00151:IPR013818-PF01477:IPR001024	171	C3YLE6	502	PF00151{Lipase}:IPR013818{Lipase}[38-250],PF00151{Lipase}:IPR013818{Lipase}[254-326],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[331-400]
b438db3eaf25c880cde3f98f340e7f5a61bf3003	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818	71	E4YD67	544	PF00151{Lipase}:IPR013818{Lipase}[15-306],PF00151{Lipase}:IPR013818{Lipase}[336-408],PF00151{Lipase}:IPR013818{Lipase}[414-519]
22f2847af909bdcc1b56115679a7c97d4295b582	PF00057:IPR002172-PF00151:IPR013818	27	E2ATG3	518	PF00057{Ldl_recept_a}:IPR002172{LDrepeatLR_classA_rpt}[2-34],PF00151{Lipase}:IPR013818{Lipase}[222-482]
ecf5298742c24b71e4632c3858cf061c0dfb91d5	PF00151:IPR013818-PF00353:IPR001343-PF00353:IPR001343	25	A0YQ08	500	PF00151{Lipase}:IPR013818{Lipase}[26-201],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[355-389],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[408-434]
2ea5dda2162553da3a52958e9d1ad2d697e06c27	PF03747:IPR005502-PF00151:IPR013818	23	S7NAQ0	656	PF03747{ADP_ribosyl_GH}:IPR005502{Ribosyl_crysJ1}[11-310],PF00151{Lipase}:IPR013818{Lipase}[308-543]
467b4c387ea4170a4315ac701c418ad252d1b2b3	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818	21	A0A0L0C1H9	1467	PF00151{Lipase}:IPR013818{Lipase}[117-391],PF00151{Lipase}:IPR013818{Lipase}[542-625],PF00151{Lipase}:IPR013818{Lipase}[767-1038],PF00151{Lipase}:IPR013818{Lipase}[1170-1441]
1d82e1a401644c9bb2139f61fb909b1290065828	PF08066:IPR012588-PF01612:IPR002562-PF00570:IPR002121-PF00151:IPR013818	18	E2AJL2	1189	PF08066{PMC2NT}:IPR012588{Exosome-assoc_fac_Rrp6_N}[23-107],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[235-400],PF00570{HRDC}:IPR002121{HRDC_dom}[455-518],PF00151{Lipase}:IPR013818{Lipase}[818-1157]
1ea54623322a33af23b4f774155eda1e484af645	PF00151:IPR013818-PF23040-PF08766:IPR014876-PF00782:IPR000340	12	A0A813VH41	905	PF00151{Lipase}:IPR013818{Lipase}[69-397],PF23040{PH_SSH1-like_1st}[581-687],PF08766{DEK_C}:IPR014876{DEK_C}[704-752],PF00782{DSPc}:IPR000340{Dual-sp_phosphatase_cat-dom}[765-893]
46d845143d726c1126edb0718d83b645d8c09c65	PF00076:IPR000504-PF00151:IPR013818	10	A0A814R630	780	PF00076{RRM_1}:IPR000504{RRM_dom}[271-351],PF00151{Lipase}:IPR013818{Lipase}[490-690]
813a814c16021237689c50c293797ec7f0f9a505	PF00151:IPR013818-PF09335:IPR032816	10	M7CN15	519	PF00151{Lipase}:IPR013818{Lipase}[1-166],PF09335{VTT_dom}:IPR032816{VTT_dom}[339-459]
1424a2cc4904fd3b75cf8c3c6b879ebc23db7660	PF00151:IPR013818-PF01477:IPR001024-PF00151:IPR013818-PF01477:IPR001024	7	A0A151NUT3	940	PF00151{Lipase}:IPR013818{Lipase}[18-349],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[356-453],PF00151{Lipase}:IPR013818{Lipase}[491-825],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[831-932]
3a06571ca20deff210bfc74e34a6dd87bab40dfc	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF01477:IPR001024	7	A0A3M0KDY9	1359	PF00151{Lipase}:IPR013818{Lipase}[253-460],PF00151{Lipase}:IPR013818{Lipase}[649-794],PF00151{Lipase}:IPR013818{Lipase}[930-1264],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[1269-1358]
b6412645632fdf0d498c6d1fb856a1c0a0a502b7	PF00151:IPR013818-PF00899:IPR000594-PF08825:IPR014929	7	A0A084W2J5	601	PF00151{Lipase}:IPR013818{Lipase}[3-115],PF00899{ThiF}:IPR000594{ThiF_NAD_FAD-bd}[203-493],PF08825{E2_bind}:IPR014929{E2-binding}[508-592]
edf20a1f1db56e485be88554c468cc2345844053	PF00057:IPR002172-PF00151:IPR013818-PF03265:IPR004947	7	A0A5E4M398	865	PF00057{Ldl_recept_a}:IPR002172{LDrepeatLR_classA_rpt}[70-108],PF00151{Lipase}:IPR013818{Lipase}[167-351],PF03265{DNase_II}:IPR004947{DNase_II}[519-857]
019aaf9f7c1ff55d68dc8f3dfee9fd6e6f0045bb	PF00230:IPR000425-PF00151:IPR013818-PF01477:IPR001024	6	A0A4Z2JBX1	791	PF00230{MIP}:IPR000425{MIP}[19-259],PF00151{Lipase}:IPR013818{Lipase}[312-606],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[611-724]
828e318eac2003c7b6a281596a975648846e37ec	PF00151:IPR013818-PF15409:IPR041680-PF01237:IPR000648	6	A0A8J9UBZ7	2418	PF00151{Lipase}:IPR013818{Lipase}[5-224],PF15409{PH_8}:IPR041680{PH_8}[388-475],PF01237{Oxysterol_BP}:IPR000648{Oxysterol-bd}[2033-2359]
d37cb1ef2e1d8661c42d25726d96f21778dd74eb	PF01145:IPR001107-PF00151:IPR013818	6	A0A3N0YA25	656	PF01145{Band_7}:IPR001107{Band_7}[19-153],PF00151{Lipase}:IPR013818{Lipase}[246-536]
0af9349e9c92a88b4b4b748dd9f4b9ac8eb97b0b	PF00151:IPR013818-PF01421:IPR001590-PF00200:IPR001762-PF08516:IPR006586-PF07974:IPR013111	5	A0A139WBG0	1225	PF00151{Lipase}:IPR013818{Lipase}[188-434],PF01421{Reprolysin}:IPR001590{Peptidase_M12B}[559-763],PF00200{Disintegrin}:IPR001762{Disintegrin_dom}[778-852],PF08516{ADAM_CR}:IPR006586{ADAM_Cys-rich}[857-967],PF07974{EGF_2}:IPR013111{EGF_extracell}[1015-1047]
3e6132ab31f1eb42a65c53cd4f27eed0e357b2d9	PF00151:IPR013818-PF00092:IPR002035	5	A0A3S3P8Z8	714	PF00151{Lipase}:IPR013818{Lipase}[5-104],PF00092{VWA}:IPR002035{VWF_A}[131-295]
61b41d0b756f14baa50e18d880fa5a7eb7c4fd22	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818	5	A0A132AF24	1446	PF00151{Lipase}:IPR013818{Lipase}[44-261],PF00151{Lipase}:IPR013818{Lipase}[273-491],PF00151{Lipase}:IPR013818{Lipase}[495-693],PF00151{Lipase}:IPR013818{Lipase}[697-942],PF00151{Lipase}:IPR013818{Lipase}[988-1249]
b33105a5aeaa31d719f6ac3a9c9688b7a8014c84	PF00151:IPR013818-PF00353:IPR001343-PF00353:IPR001343-PF00353:IPR001343	5	U7QRX9	500	PF00151{Lipase}:IPR013818{Lipase}[26-201],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[337-371],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[372-407],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[408-434]
023b91d6262fd198b29a6d32f1bf1bfd61dffd2f	PF00151:IPR013818-PF02630:IPR003782	4	A0A0L7RA41	490	PF00151{Lipase}:IPR013818{Lipase}[29-107],PF02630{SCO1-SenC}:IPR003782{SCO1/SenC}[311-445]
44aae22014dd0088a7a4f0d751289584ec3fa49b	PF07690:IPR011701-PF00151:IPR013818	4	A0A151ISV1	2204	PF07690{MFS_1}:IPR011701{MFS}[1386-1768],PF00151{Lipase}:IPR013818{Lipase}[1899-2182]
76d934fb169198a9a0bd6b72fd5d397f135ad394	PF05839:IPR008401-PF00151:IPR013818	4	A0A2I0T8Q5	158	PF05839{Apc13p}:IPR008401{Apc13}[1-33],PF00151{Lipase}:IPR013818{Lipase}[55-156]
cac237d221bf180f2461a4fb7ec804eb6279c92c	PF00151:IPR013818-PF00858:IPR001873	4	A0A194PJK4	628	PF00151{Lipase}:IPR013818{Lipase}[88-400],PF00858{ASC}:IPR001873{ENaC}[510-621]
3ce83317a6a9d66b94daf6ab51bf63dea53e22db	PF00151:IPR013818-PF00069:IPR000719	3	A0A139WBD7	835	PF00151{Lipase}:IPR013818{Lipase}[59-366],PF00069{Pkinase}:IPR000719{Prot_kinase_dom}[556-805]
5cccc47baa220fbe82093f655042a3e05d801075	PF00151:IPR013818-PF03351:IPR005018-PF01082:IPR000323-PF03712:IPR024548	3	A0AAE1K512	1187	PF00151{Lipase}:IPR013818{Lipase}[166-373],PF03351{DOMON}:IPR005018{DOMON_domain}[587-702],PF01082{Cu2_monooxygen}:IPR000323{Cu2_ascorb_mOase_N}[746-877],PF03712{Cu2_monoox_C}:IPR024548{Cu2_monoox_C}[898-1052]
7a3533c1d4dd2ef03505067664e1314e0d16545b	PF01223:IPR001604-PF00151:IPR013818	3	A0A1B0ABD5	695	PF01223{Endonuclease_NS}:IPR001604{Endo_G_ENPP1-like_dom}[135-350],PF00151{Lipase}:IPR013818{Lipase}[387-650]
b624b9a966cf14d83c18ac2172c9fa1739b8a5b4	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818	3	A0A154P6D3	1588	PF00151{Lipase}:IPR013818{Lipase}[36-180],PF00151{Lipase}:IPR013818{Lipase}[184-260],PF00151{Lipase}:IPR013818{Lipase}[328-570],PF00151{Lipase}:IPR013818{Lipase}[622-765],PF00151{Lipase}:IPR013818{Lipase}[795-1108],PF00151{Lipase}:IPR013818{Lipase}[1194-1438]
ca77a5c274d661e62728b2ffeb6308889b752018	PF00089:IPR001254-PF00151:IPR013818-PF00151:IPR013818	3	A0A8K0C6V4	632	PF00089{Trypsin}:IPR001254{Trypsin_dom}[37-253],PF00151{Lipase}:IPR013818{Lipase}[292-513],PF00151{Lipase}:IPR013818{Lipase}[544-602]
f09e56a39fc2469e15353f5486ac0bd84a4fe0e0	PF00151:IPR013818-PF00270:IPR011545-PF00271:IPR001650-PF13959:IPR025313	3	A0AAV6VG08	1100	PF00151{Lipase}:IPR013818{Lipase}[91-385],PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[543-716],PF00271{Helicase_C}:IPR001650{Helicase_C-like}[779-883],PF13959{DUF4217}:IPR025313{SPB4-like_CTE}[958-1005]
fda359287d96b9b9ac03a9d3b0b2515e1f762bbe	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF01477:IPR001024	3	A0A0Q3USK1	1040	PF00151{Lipase}:IPR013818{Lipase}[74-110],PF00151{Lipase}:IPR013818{Lipase}[112-231],PF00151{Lipase}:IPR013818{Lipase}[380-517],PF00151{Lipase}:IPR013818{Lipase}[641-925],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[930-1034]
06b0ff1b6db017b11a8b13087a6a2f8d1e62ebda	PF00567:IPR002999-PF00151:IPR013818	2	A0A498NRZ3	1068	PF00567{TUDOR}:IPR002999{Tudor}[19-124],PF00151{Lipase}:IPR013818{Lipase}[775-995]
15dbe5c2252cb9ecd20372907bd9a0903001ac80	PF00151:IPR013818-PF00353:IPR001343	2	A0A1B7VEA4	556	PF00151{Lipase}:IPR013818{Lipase}[181-377],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[461-496]
17aa3496095c5040a83b2dd84354fe4caeeb4baa	PF03036:IPR004279-PF00151:IPR013818	2	A0A815D803	380	PF03036{Perilipin}:IPR004279{Perilipin}[1-105],PF00151{Lipase}:IPR013818{Lipase}[170-380]
1c9a2c3318d9afbc736b587b16c2f1a904fea1f4	PF00194:IPR001148-PF00151:IPR013818	2	A0A154PMI9	653	PF00194{Carb_anhydrase}:IPR001148{CA_dom}[183-386],PF00151{Lipase}:IPR013818{Lipase}[457-565]
1e24a04047bfa573c9b6a87a9b5bd813446ca306	PF00046:IPR001356-PF03826:IPR003654-PF00151:IPR013818-PF01477:IPR001024	2	A0A0P7V6I6	580	PF00046{Homeodomain}:IPR001356{HD}[2-31],PF03826{OAR}:IPR003654{OAR_dom}[164-181],PF00151{Lipase}:IPR013818{Lipase}[207-486],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[492-576]
21ed7fbabdc7e1efe07b0798548d95126a633ff3	PF00151:IPR013818-PF24576	2	A0A0J7P1Z1	495	PF00151{Lipase}:IPR013818{Lipase}[22-218],PF24576{IR75A_N}[226-325]
25110fb05fbcc27f05d45478124e909a37f29c29	PF01073:IPR002225-PF00151:IPR013818	2	A0A498N8T3	649	PF01073{3Beta_HSD}:IPR002225{3Beta_OHSteriod_DH/Estase}[9-286],PF00151{Lipase}:IPR013818{Lipase}[355-642]
2578598130b78c55e9b4e256b92562479cb63c7f	PF00151:IPR013818-PF01129:IPR000768	2	A0A814KH08	1025	PF00151{Lipase}:IPR013818{Lipase}[39-340],PF01129{ART}:IPR000768{ART}[513-680]
27cccefcfabf8ab0a6ea13bf122d97d63e9336f5	PF00089:IPR001254-PF00151:IPR013818	2	A0A835CMT3	650	PF00089{Trypsin}:IPR001254{Trypsin_dom}[24-247],PF00151{Lipase}:IPR013818{Lipase}[283-625]
37d55498357830e7d7bb0aa59829ab94b3387786	PF00151:IPR013818-PF00480:IPR000600	2	A0A814JCG9	848	PF00151{Lipase}:IPR013818{Lipase}[10-78],PF00480{ROK}:IPR000600{ROK}[93-161]
37ffee186e7d0acd19ed7d6af00913585fd54a66	PF15280:IPR023252-PF00151:IPR013818	2	A0A2H1VT31	1022	PF15280{BORA_N}:IPR023252{Aurora_borealis_protein}[15-202],PF00151{Lipase}:IPR013818{Lipase}[728-1022]
395649298ef4f8da42d9ab68018c50f5ad625ad7	PF00096:IPR013087-PF00096:IPR013087-PF00096:IPR013087-PF00151:IPR013818	2	A0A226DJP6	501	PF00096{zf-C2H2}:IPR013087{Znf_C2H2_type}[35-57],PF00096{zf-C2H2}:IPR013087{Znf_C2H2_type}[66-89],PF00096{zf-C2H2}:IPR013087{Znf_C2H2_type}[96-118],PF00151{Lipase}:IPR013818{Lipase}[205-470]
3a006166416124efebc6580245782aadc7f91d03	PF24681-PF13418-PF02359:IPR003338-PF02933:IPR004201-PF00004:IPR003959-PF17862:IPR041569-PF00004:IPR003959-PF21964:IPR054419-PF00151:IPR013818	2	N6UKE4	1497	PF24681{Kelch_KLHDC2_KLHL20_DRC7}[54-253],PF13418{Kelch_4}[291-334],PF02359{CDC48_N}:IPR003338{CDC4_N-term_subdom}[429-507],PF02933{CDC48_2}:IPR004201{Cdc48_dom2}[531-577],PF00004{AAA}:IPR003959{ATPase_AAA_core}[676-816],PF17862{AAA_lid_3}:IPR041569{AAA_lid_3}[843-881],PF00004{AAA}:IPR003959{ATPase_AAA_core}[959-1087],PF21964{NSF_ATPase_lid}:IPR054419{NSF_ATPase_lid}[1089-1156],PF00151{Lipase}:IPR013818{Lipase}[1245-1460]
47e05bd65bcbbc7f5284a46b2645db6e4f9c5693	PF00151:IPR013818-PF03265:IPR004947	2	A0A1D2M2W9	745	PF00151{Lipase}:IPR013818{Lipase}[41-229],PF03265{DNase_II}:IPR004947{DNase_II}[354-699]
53f110ee973447aa6ad83da0904da183d87cb3fa	PF00651:IPR000210-PF00151:IPR013818	2	A0A8S3T6A6	546	PF00651{BTB}:IPR000210{BTB/POZ_dom}[114-231],PF00151{Lipase}:IPR013818{Lipase}[320-530]
5b9eca5957c1b25fba695fc553d5b6516381053d	PF00069:IPR000719-PF08332:IPR013543-PF00151:IPR013818	2	A0A556V839	693	PF00069{Pkinase}:IPR000719{Prot_kinase_dom}[2-102],PF08332{CaMKII_AD}:IPR013543{Ca/CaM-dep_prot_kinase-assoc}[204-331],PF00151{Lipase}:IPR013818{Lipase}[320-591]
5bed9abd95b5eb177d41be5b34f45e7427efd1b2	PF03372:IPR005135-PF00151:IPR013818	2	A0A969D1G5	750	PF03372{Exo_endo_phos}:IPR005135{Endo/exonuclease/phosphatase}[192-447],PF00151{Lipase}:IPR013818{Lipase}[462-680]
5bf11fc603273865f2c6ffb19f5e3b5a7504dbe2	PF03372:IPR005135-PF00151:IPR013818-PF00353:IPR001343-PF00353:IPR001343	2	A0A969PSJ2	879	PF03372{Exo_endo_phos}:IPR005135{Endo/exonuclease/phosphatase}[192-447],PF00151{Lipase}:IPR013818{Lipase}[462-680],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[798-827],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[837-859]
5f778f5fd7c84909c43ce75f3e5ded8cb24659d8	PF00151:IPR013818-PF12796:IPR002110-PF12796:IPR002110-PF00520:IPR005821	2	A0A8C5QRD4	1077	PF00151{Lipase}:IPR013818{Lipase}[23-358],PF12796{Ank_2}:IPR002110{Ankyrin_rpt}[459-553],PF12796{Ank_2}:IPR002110{Ankyrin_rpt}[577-675],PF00520{Ion_trans}:IPR005821{Ion_trans_dom}[741-1001]
