protein_name,uniprot_id,organism,domain_start,domain_end,domain_length,score
sp|P06857|LIPR1_CANLF,P06857,N/A,1,467,467,5.567
sp|P54316|LIPR1_RAT,P54316,N/A,1,473,473,5.92
sp|P54315|LIPR1_HUMAN,P54315,N/A,1,467,467,6.852
sp|Q5BKQ4|LIPR1_MOUSE,Q5BKQ4,N/A,1,472,472,6.356
sp|P54317|LIPR2_HUMAN,P54317,N/A,1,469,469,7.249
sp|Q64424|LIPR2_MYOCO,Q64424,N/A,2,470,469,5.757
sp|P54318|LIPR2_RAT,P54318,N/A,1,468,468,6.183
sp|P27657|LIPP_RAT,P27657,N/A,1,465,465,6.197
sp|A5PK46|LIPR2_BOVIN,A5PK46,N/A,1,469,469,6.397
sp|D7EZN2|LIPR2_PIG,D7EZN2,N/A,1,471,471,5.096
sp|P17892|LIPR2_MOUSE,P17892,N/A,26,482,457,5.908
sp|P29183|LIPP_HORSE,P29183,N/A,1,461,461,4.978
sp|Q6P8U6|LIPP_MOUSE,Q6P8U6,N/A,1,465,465,7.051
sp|Q64425|LIPP_MYOCO,Q64425,N/A,1,457,457,5.664
sp|P81139|LIPR2_CAVPO,P81139,N/A,2,434,433,5.1
sp|O88354|LIPP_ICTTR,O88354,N/A,12,465,454,5.055
sp|P00591|LIPP_PIG,P00591,N/A,2,450,449,4.889
sp|P50903|LIPP_CAVPO,P50903,N/A,13,465,453,4.626
sp|P16233|LIPP_HUMAN,P16233,N/A,12,465,454,5.055
sp|Q02157|LIPP_RABIT,Q02157,N/A,12,465,454,5.263
sp|Q17RR3|LIPR3_HUMAN,Q17RR3,N/A,1,467,467,5.106
