,GO_ID,GO_Term,Count_Prot_Dataset,Count_Prot_SwissProt,Count_Prot_SwissProt_Actual,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater,P_Value_Less
7,GO:0004806,F:triacylglycerol lipase activity,37,265,302,64.91,0.0547520024,1185.57,2.5097670630840602e-107,2.50976706308406e-107,1.0
10,GO:0019433,P:triglyceride catabolic process,27,67,94,47.37,0.017042014,2779.51,3.941656726966855e-88,3.941656726966855e-88,1.0
0,GO:0005615,C:extracellular space,50,9639,9689,87.72,1.7565965285,49.94,3.523895798585345e-80,3.523895798585346e-80,1.0
12,GO:0004465,F:lipoprotein lipase activity,20,7,27,35.09,0.0048950466,7168.01,3.840196657225957e-76,3.840196657225957e-76,1.0
13,GO:0008970,F:phospholipase A1 activity,24,105,129,42.11,0.0233874447,1800.34,5.458477291669056e-73,5.458477291669057e-73,1.0
26,GO:0052739,F:phosphatidylserine 1-acylhydrolase activity,19,66,85,33.33,0.0154103318,2163.05,2.6603046616694145e-59,2.6603046616694145e-59,1.0
6,GO:0004620,F:phospholipase activity,21,158,179,36.84,0.0324523458,1135.27,3.3870858318177636e-59,3.3870858318177636e-59,1.0
20,GO:0052740,F:1-acyl-2-lysophosphatidylserine acylhydrolase activity,18,66,84,31.58,0.0152290338,2073.6,8.409981765876494e-56,8.409981765876496e-56,1.0
24,GO:0008201,F:heparin binding,24,778,802,42.11,0.1454010131,289.58,4.0434606038515446e-53,4.0434606038515455e-53,1.0
48,GO:0016042,P:lipid catabolic process,27,1692,1719,47.37,0.3116512986,151.99,2.2258524702335086e-52,2.2258524702335086e-52,1.0
47,GO:0034372,P:very-low-density lipoprotein particle remodeling,15,33,48,26.32,0.008702305,3024.0,2.3608656109230776e-49,2.360865610923077e-49,1.0
21,GO:0034185,F:apolipoprotein binding,15,49,64,26.32,0.0116030734,2268.0,3.44083735319516e-47,3.4408373531951605e-47,1.0
32,GO:0034371,P:chylomicron remodeling,11,2,13,19.3,0.0023568743,8188.07,3.990942393944991e-43,3.99094239394499e-43,1.0
51,GO:0034375,P:high-density lipoprotein particle remodeling,13,78,91,22.81,0.0164981199,1382.4,6.636040934167895e-38,6.636040934167896e-38,1.0
31,GO:0042632,P:cholesterol homeostasis,15,372,387,26.32,0.0701623342,375.07,8.010664150737357e-35,8.010664150737357e-35,1.0
25,GO:0071813,F:lipoprotein particle binding,10,26,36,17.54,0.0065267288,2688.0,1.5236028023194127e-32,1.5236028023194124e-32,1.0
23,GO:0043395,F:heparan sulfate proteoglycan binding,11,94,105,19.3,0.0190362922,1013.76,1.2658431693842373e-30,1.2658431693842373e-30,1.0
79,GO:0047376,"F:all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity",9,20,29,15.79,0.0052576426,3003.15,6.901885334073852e-30,6.901885334073849e-30,1.0
14,GO:0006633,P:fatty acid biosynthetic process,20,4486,4506,35.09,0.816928884,42.95,1.5225621791448163e-27,1.5225621791448163e-27,1.0
17,GO:0042627,C:chylomicron,11,192,203,19.3,0.0368034983,524.36,2.3132591084454226e-27,2.3132591084454222e-27,1.0
3,GO:0102549,F:1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity,7,4,11,12.28,0.0019942782,6157.97,2.8281257644506414e-26,2.828125764450641e-26,1.0
19,GO:0034361,C:very-low-density lipoprotein particle,11,317,328,19.3,0.059465751,324.53,4.993031284682095e-25,4.993031284682094e-25,1.0
46,GO:0070328,P:triglyceride homeostasis,10,174,184,17.54,0.0333588359,525.91,5.66323705528543e-25,5.663237055285429e-25,1.0
61,GO:0019376,P:galactolipid catabolic process,6,0,6,10.53,0.0010877881,9676.81,9.272556200254426e-25,9.272556200254426e-25,1.0
4,GO:0047714,F:galactolipase activity,7,10,17,12.28,0.0030820664,3984.57,1.6659158121705995e-24,1.6659158121705995e-24,1.0
34,GO:0055096,P:low-density lipoprotein particle mediated signaling,6,5,11,10.53,0.0019942782,5278.26,4.282223820096968e-22,4.282223820096968e-22,1.0
8,GO:0009395,P:phospholipid catabolic process,8,108,116,14.04,0.0210305705,667.37,4.89464645317061e-21,4.894646453170609e-21,1.0
22,GO:0005509,F:calcium ion binding,16,4941,4957,28.07,0.8986942917,31.23,7.222305203478208e-20,7.222305203478205e-20,1.0
2,GO:0042589,C:zymogen granule membrane,7,61,68,12.28,0.0123282654,996.14,8.270733805068387e-20,8.270733805068388e-20,1.0
37,GO:0010886,P:positive regulation of cholesterol storage,6,22,28,10.53,0.0050763446,2073.6,3.4872575713463783e-19,3.4872575713463783e-19,1.0
35,GO:1904179,P:positive regulation of adipose tissue development,6,27,33,10.53,0.0059828347,1759.42,1.0248035125233974e-18,1.0248035125233974e-18,1.0
33,GO:0006631,P:fatty acid metabolic process,10,939,949,17.54,0.1720518222,101.97,8.694135396555686e-18,8.694135396555683e-18,1.0
59,GO:0047372,F:monoacylglycerol lipase activity,7,127,134,12.28,0.0242939349,505.5,1.113940616104597e-17,1.113940616104597e-17,1.0
43,GO:0010890,P:positive regulation of sequestering of triglyceride,6,49,55,10.53,0.0099713912,1055.65,2.6776658008150547e-17,2.6776658008150547e-17,1.0
58,GO:0016298,F:lipase activity,7,147,154,12.28,0.0279198953,439.85,3.0074632308151905e-17,3.007463230815191e-17,1.0
15,GO:1902494,C:catalytic complex,6,93,99,10.53,0.0179485041,586.47,1.0313875094927792e-15,1.0313875094927792e-15,1.0
70,GO:0009749,P:response to glucose,7,296,303,12.28,0.0549333005,223.56,3.633095671914882e-15,3.633095671914883e-15,1.0
36,GO:2000343,P:positive regulation of chemokine (C-X-C motif) ligand 2 production,5,36,41,8.77,0.0074332189,1180.1,7.350693707459184e-15,7.350693707459184e-15,1.0
30,GO:0031670,P:cellular response to nutrient,5,36,41,8.77,0.0074332189,1180.1,7.350693707459184e-15,7.350693707459184e-15,1.0
45,GO:0009617,P:response to bacterium,8,675,683,14.04,0.1238265486,113.34,8.303653511935331e-15,8.30365351193533e-15,1.0
9,GO:0006644,P:phospholipid metabolic process,8,686,694,14.04,0.1258208268,111.55,9.43379069289073e-15,9.433790692890727e-15,0.9999999999999999
42,GO:0010744,P:positive regulation of macrophage derived foam cell differentiation,5,45,50,8.77,0.0090649011,967.68,2.076780103507046e-14,2.076780103507046e-14,1.0
38,GO:0045600,P:positive regulation of fat cell differentiation,6,160,166,10.53,0.0300954715,349.76,2.4284244755388743e-14,2.4284244755388743e-14,1.0
63,GO:0034638,P:phosphatidylcholine catabolic process,5,61,66,8.77,0.0119656694,733.09,8.748853614980631e-14,8.748853614980633e-14,0.9999999999999999
71,GO:0006629,P:lipid metabolic process,8,947,955,14.04,0.1731396104,81.06,1.2014374349909795e-13,1.20143743499098e-13,0.9999999999999989
29,GO:0071398,P:cellular response to fatty acid,5,92,97,8.77,0.0175859081,498.8,6.293633324841443e-13,6.293633324841442e-13,0.9999999999999991
62,GO:0044258,P:intestinal lipid catabolic process,3,1,4,5.26,0.0007251921,7257.61,4.183122653838894e-12,4.1831226538388935e-12,0.9999999999999999
74,GO:0004622,F:lysophospholipase activity,5,184,189,8.77,0.034265326,256.0,1.84727475802951e-11,1.8472747580295102e-11,0.9999999999999466
55,GO:0050746,P:regulation of lipoprotein metabolic process,3,3,6,5.26,0.0010877881,4838.4,2.0912542211553884e-11,2.0912542211553884e-11,0.9999999999999984
40,GO:0032731,P:positive regulation of interleukin-1 beta production,5,215,220,8.77,0.0398855647,219.93,3.967937705904569e-11,3.96793770590457e-11,0.999999999999866
77,GO:0034374,P:low-density lipoprotein particle remodeling,4,59,63,7.02,0.0114217753,614.4,6.070848807894026e-11,6.070848807894026e-11,0.9999999999999312
54,GO:0010983,P:positive regulation of high-density lipoprotein particle clearance,3,6,9,5.26,0.0016316822,3225.6,8.781333334832786e-11,8.781333334832787e-11,0.9999999999999871
57,GO:0043691,P:reverse cholesterol transport,4,69,73,7.02,0.0132347556,530.24,1.1084447465779703e-10,1.10844474657797e-10,0.999999999999853
1,GO:0043005,C:neuron projection,7,1337,1344,12.28,0.2436645406,50.4,1.192959896744836e-10,1.192959896744836e-10,0.9999999999981919
16,GO:0009986,C:cell surface,9,3587,3596,15.79,0.6519476846,24.22,1.4291304117030244e-10,1.4291304117030242e-10,0.9999999999955256
73,GO:0034364,C:high-density lipoprotein particle,5,314,319,8.77,0.0578340688,151.67,2.5599163523314655e-10,2.5599163523314655e-10,0.9999999999987373
39,GO:0050729,P:positive regulation of inflammatory response,5,327,332,8.77,0.0601909431,145.74,3.12649260100281e-10,3.1264926010028103e-10,0.999999999998394
44,GO:0032760,P:positive regulation of tumor necrosis factor production,5,331,336,8.77,0.0609161352,144.0,3.3195871630874094e-10,3.3195871630874094e-10,0.9999999999982739
41,GO:0032755,P:positive regulation of interleukin-6 production,5,335,340,8.77,0.0616413272,142.31,3.522080387732691e-10,3.5220803877326915e-10,0.9999999999981466
53,GO:0032376,P:positive regulation of cholesterol transport,3,13,16,5.26,0.0029007683,1814.4,5.851214320566777e-10,5.851214320566778e-10,0.9999999999998138
