,GO_ID,GO_Term,Count_Prot_Dataset (a),Count_Prot_SwissProt (b),c,d,Count_Prot_SwissProt_Actual,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater
1,GO:0016298,lipase activity,78,1675,4,549878,1753,95.12,0.3177825917,299.33,4.4762449296839884e-190,4.4762449296839884e-190
5,GO:0016042,lipid catabolic process,79,3934,3,547619,4013,96.34,0.7274737825,132.43,4.8797457683975785e-165,4.8797457683975785e-165
15,GO:0008970,phospholipase A1 activity,45,84,37,551469,129,54.88,0.0233850281,2346.72,1.823464800071633e-144,1.823464800071633e-144
0,GO:0004620,phospholipase activity,60,1284,22,550269,1344,73.17,0.243639363,300.32,2.0409911464069115e-138,2.0409911464069115e-138
38,GO:0052739,phosphatidylserine 1-acylhydrolase activity,40,45,42,551508,85,48.78,0.0154087395,3165.77,2.1027324484168363e-134,2.1027324484168363e-134
34,GO:0052740,obsolete 1-acyl-2-lysophosphatidylserine acylhydrolase activity,39,45,43,551508,84,47.56,0.0152274602,3123.37,1.2692410115286158e-130,1.269241011528616e-130
11,GO:0005615,extracellular space,76,9613,6,541940,9689,92.68,1.7564150208,52.77,9.223167247456195e-126,9.223167247456195e-126
29,GO:0004806,triacylglycerol lipase activity,40,270,42,551283,310,48.78,0.0561965793,868.03,2.8552423916542914e-108,2.8552423916542914e-108
18,GO:0006629,lipid metabolic process,82,31435,0,520118,31517,100.0,5.7133793178,17.5,1.0520675900729095e-102,1.0520675900729095e-102
16,GO:0016788,"hydrolase activity, acting on ester bonds",78,29573,4,521980,29651,95.12,5.3751121666,17.7,1.19367784828329e-93,1.1936778482832903e-93
78,GO:0019433,triglyceride catabolic process,27,67,55,551486,94,32.93,0.0170402531,1932.3,9.630954556969527e-83,9.630954556969529e-83
2,GO:0009056,catabolic process,79,50638,3,500915,50717,96.34,9.1939416462,10.48,8.242950986824711e-78,8.242950986824714e-78
62,GO:0046464,acylglycerol catabolic process,27,124,55,551429,151,32.93,0.0273731725,1202.89,1.8402059684935133e-76,1.8402059684935133e-76
111,GO:0046461,neutral lipid catabolic process,27,155,55,551398,182,32.93,0.0329928304,998.0,4.4261967220775665e-74,4.4261967220775665e-74
58,GO:0004465,lipoprotein lipase activity,20,7,62,551546,27,24.39,0.0048945408,4983.15,1.9694535107514386e-72,1.9694535107514386e-72
113,GO:0046503,glycerolipid catabolic process,27,336,55,551217,363,32.93,0.0658043815,500.37,1.530869550652563e-65,1.5308695506525633e-65
17,GO:0016787,hydrolase activity,81,93569,1,457984,93650,98.78,16.9768053151,5.82,2.7543085834460743e-61,2.7543085834460743e-61
89,GO:0006641,triglyceride metabolic process,27,557,55,550996,584,32.93,0.1058671042,311.02,8.257610021550183e-60,8.257610021550183e-60
79,GO:0006639,acylglycerol metabolic process,27,685,55,550868,712,32.93,0.129070853,255.11,1.9212141723711046e-57,1.9212141723711048e-57
93,GO:0006638,neutral lipid metabolic process,27,723,55,550830,750,32.93,0.135959466,242.18,7.994636516419623e-57,7.994636516419623e-57
77,GO:0008201,heparin binding,24,778,58,550775,802,29.27,0.1453859889,201.31,1.6937129163630175e-48,1.6937129163630178e-48
109,GO:0034369,plasma lipoprotein particle remodeling,18,124,64,551429,142,21.95,0.0257416589,852.75,4.618362238122551e-48,4.6183622381225524e-48
76,GO:0034368,protein-lipid complex remodeling,18,127,64,551426,145,21.95,0.0262854968,835.11,6.891710172507886e-48,6.891710172507886e-48
66,GO:0034372,very-low-density lipoprotein particle remodeling,15,33,67,551520,48,18.29,0.0087014058,2102.27,1.0653062873917695e-46,1.0653062873917695e-46
115,GO:0005539,glycosaminoglycan binding,24,1119,58,550434,1143,29.27,0.2072022261,141.25,8.956469803588896e-45,8.956469803588898e-45
67,GO:0071827,plasma lipoprotein particle organization,18,200,64,551353,218,21.95,0.0395188848,555.46,1.538230921804584e-44,1.538230921804584e-44
80,GO:0034367,protein-containing complex remodeling,18,211,64,551342,229,21.95,0.0415129569,528.78,3.861641022114827e-44,3.8616410221148273e-44
73,GO:0071825,protein-lipid complex organization,18,215,64,551338,233,21.95,0.0422380741,519.7,5.335767675635711e-44,5.33576767563571e-44
81,GO:0034370,triglyceride-rich lipoprotein particle remodeling,15,55,67,551498,70,18.29,0.0126895502,1441.55,7.012738290522252e-44,7.012738290522252e-44
72,GO:0034185,apolipoprotein binding,15,58,67,551495,73,18.29,0.013233388,1382.31,1.4130648178428157e-43,1.4130648178428157e-43
114,GO:0046486,glycerolipid metabolic process,30,4202,52,547351,4232,36.59,0.7671739465,47.69,4.8090095741809175e-42,4.809009574180917e-42
65,GO:0034371,chylomicron remodeling,11,2,71,551551,13,13.41,0.0023566307,5692.29,3.0285076797892027e-41,3.0285076797892027e-41
125,GO:0034375,high-density lipoprotein particle remodeling,13,78,69,551475,91,15.85,0.0164964152,961.04,1.2051986860389742e-35,1.2051986860389742e-35
